date,grade,AQI,AQI_ranking,PM25,PM10,SO2,CO,NO2,O3
2022-03-01,良,55,135,31,61,7,56,0.80,45
2022-03-02,良,64,160,45,75,8,39,0.91,69
2022-03-03,良,54,91,34,58,6,38,0.81,72
2022-03-04,良,59,105,33,60,7,49,0.87,76
2022-03-05,良,73,202,45,83,8,59,0.99,81
2022-03-06,优,45,98,22,47,7,28,0.73,86
2022-03-07,优,34,59,13,30,6,25,0.72,67
2022-03-08,优,40,54,17,40,6,30,0.58,89
2022-03-09,优,49,72,20,48,7,46,0.62,82
2022-03-10,良,53,79,23,57,7,53,0.64,63
2022-03-11,良,56,116,25,62,7,51,0.67,61
2022-03-12,优,47,79,20,48,7,39,0.63,58
2022-03-13,优,48,92,21,50,7,37,0.64,56
2022-03-14,良,52,102,26,56,6,38,0.69,61
2022-03-15,良,71,187,40,78,8,54,0.85,81
2022-03-16,优,36,68,17,36,7,33,0.62,40
2022-03-17,优,40,188,21,41,6,33,0.68,41
2022-03-18,优,46,178,29,48,6,34,0.83,43
2022-03-19,优,50,167,31,52,7,31,0.81,73
2022-03-20,优,34,83,18,33,6,23,0.77,65
2022-03-21,优,38,165,21,38,6,27,0.78,49
2022-03-22,优,36,163,22,36,5,30,0.75,26
2022-03-23,优,10,4,4,7,5,20,0.88,18
2022-03-24,优,16,16,9,12,6,30,0.86,11
2022-03-25,优,27,76,18,24,6,39,0.89,10
2022-03-26,优,31,59,21,31,6,23,0.78,22
2022-03-27,优,19,9,11,19,6,16,0.89,39
2022-03-28,优,16,7,10,15,6,22,0.80,31
2022-03-29,优,29,25,16,29,6,30,0.86,14
2022-03-30,优,50,176,27,52,7,42,0.98,44
2022-03-31,良,58,276,30,65,7,48,0.99,60
